Match_ID,Season,Match_Type,Venue,Team1,Team2,Toss_Winner,Toss_Decision,Team1_Score,Team1_Wickets,Team1_Overs_Played,Team2_Score,Team2_Wickets,Team2_Overs_Played,Match_Winner,Win_By,Win_Margin,Man_of_the_Match,Stadium_Attendance
1001,2017,League,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Mumbai Indians,Gujarat Titans,Field,177,5,16.6,223,4,20,Mumbai Indians,Wickets,6,Sunil Narine,33174
1002,2017,League,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Bat,204,7,18.2,214,7,18,Royal Challengers Bangalore,Wickets,3,Rohit Sharma,25816
1003,2017,League,"Eden Gardens, Kolkata",Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Bat,139,3,19.9,126,7,14.1,Kolkata Knight Riders,Runs,13,Shikhar Dhawan,59883
1004,2017,League,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Field,172,7,15.7,165,10,18.8,Rajasthan Royals,Runs,7,Rishabh Pant,30237
1005,2017,League,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,Field,217,6,20,218,3,15.9,Sunrisers Hyderabad,Wickets,7,David Warner,53660
1006,2017,League,"BRSABV Ekana Stadium, Lucknow",Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,Field,154,3,19.6,206,5,16.2,Kolkata Knight Riders,Wickets,5,Jasprit Bumrah,55005
1007,2017,League,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Bat,135,7,15.6,126,3,18.6,Sunrisers Hyderabad,Runs,9,Sanju Samson,30316
1008,2017,League,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Field,206,5,16.6,185,8,15.2,Rajasthan Royals,Runs,21,Andre Russell,38800
1009,2017,League,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Gujarat Titans,Royal Challengers Bangalore,Bat,170,7,17.3,143,6,15.6,Royal Challengers Bangalore,Runs,27,AB de Villiers,16643
1010,2017,League,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Delhi Capitals,Delhi Capitals,Bat,207,6,18.5,151,6,18.2,Rajasthan Royals,Runs,56,Rashid Khan,16260
1011,2017,League,"Wankhede Stadium, Mumbai",Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,139,10,19.3,198,7,16.9,Royal Challengers Bangalore,Wickets,3,Shikhar Dhawan,59243
1012,2017,League,"IS Bindra Stadium, Mohali",Punjab Kings,Lucknow Super Giants,Punjab Kings,Field,217,10,17.1,222,4,18.9,Lucknow Super Giants,Wickets,6,MS Dhoni,51109
1013,2017,League,"BRSABV Ekana Stadium, Lucknow",Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,183,8,18.3,145,5,13.7,Lucknow Super Giants,Runs,38,Andre Russell,29826
1014,2017,League,"Wankhede Stadium, Mumbai",Mumbai Indians,Gujarat Titans,Gujarat Titans,Field,182,4,17.4,213,7,15.5,Gujarat Titans,Wickets,3,Rashid Khan,44427
1015,2017,League,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Bat,160,3,18.5,136,3,14.6,Sunrisers Hyderabad,Runs,24,Virat Kohli,21682
1016,2017,League,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,Delhi Capitals,Chennai Super Kings,Field,154,4,18.8,200,4,16.4,Delhi Capitals,Wickets,6,AB de Villiers,29898
1017,2017,League,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Rajasthan Royals,Rajasthan Royals,Bat,188,5,17.1,181,9,17.1,Gujarat Titans,Runs,7,Pat Cummins,49408
1018,2017,League,"IS Bindra Stadium, Mohali",Punjab Kings,Chennai Super Kings,Punjab Kings,Bat,156,6,18.3,127,3,13,Punjab Kings,Runs,29,David Warner,16439
1019,2017,League,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,Bat,156,6,17.3,195,4,19.6,Lucknow Super Giants,Wickets,6,David Warner,36035
1020,2017,League,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Delhi Capitals,Rajasthan Royals,Field,181,6,15.8,225,5,16.3,Delhi Capitals,Wickets,5,Hardik Pandya,48699
1021,2017,League,"Eden Gardens, Kolkata",Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,Bat,172,4,18.8,224,3,17.2,Gujarat Titans,Wickets,7,Sanju Samson,33226
1022,2017,League,"Wankhede Stadium, Mumbai",Mumbai Indians,Rajasthan Royals,Mumbai Indians,Field,195,8,18,159,5,15.9,Mumbai Indians,Runs,36,David Warner,54849
1023,2017,League,"BRSABV Ekana Stadium, Lucknow",Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,Field,180,6,15.7,207,6,17,Punjab Kings,Wickets,4,Rishabh Pant,33408
1024,2017,League,"Wankhede Stadium, Mumbai",Mumbai Indians,Chennai Super Kings,Mumbai Indians,Bat,200,8,18.6,178,7,12.7,Mumbai Indians,Runs,22,Sanju Samson,59057
1025,2017,League,"Wankhede Stadium, Mumbai",Mumbai Indians,Gujarat Titans,Mumbai Indians,Field,198,4,15.3,211,7,15.6,Gujarat Titans,Wickets,3,Rohit Sharma,37463
1026,2017,League,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,Field,154,4,17.4,177,8,19.5,Delhi Capitals,Wickets,2,Pat Cummins,55718
1027,2017,League,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,224,8,16.4,146,4,14,Royal Challengers Bangalore,Runs,78,Pat Cummins,18581
1028,2017,League,"IS Bindra Stadium, Mohali",Punjab Kings,Chennai Super Kings,Punjab Kings,Bat,223,4,18.8,178,3,17.1,Punjab Kings,Runs,45,Sunil Narine,30194
1029,2017,League,"Eden Gardens, Kolkata",Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Field,146,10,16.9,223,10,19,Chennai Super Kings,Wickets,0,Jos Buttler,48015
1030,2018,League,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,Field,141,5,17,170,3,19.2,Delhi Capitals,Wickets,7,Virat Kohli,15660
1031,2018,League,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Gujarat Titans,Rajasthan Royals,Bat,171,4,18.1,188,10,19.2,Gujarat Titans,Wickets,0,Virat Kohli,36931
1032,2018,League,"BRSABV Ekana Stadium, Lucknow",Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings,Bat,215,4,17.7,199,3,19.5,Lucknow Super Giants,Runs,16,Sunil Narine,15602
1033,2018,League,"IS Bindra Stadium, Mohali",Punjab Kings,Lucknow Super Giants,Punjab Kings,Bat,157,4,19.9,175,9,16.9,Lucknow Super Giants,Wickets,1,Jos Buttler,53135
1034,2018,League,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,Bat,228,4,16.8,125,8,13.7,Delhi Capitals,Runs,103,Andre Russell,22434
1035,2018,League,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,Field,230,8,18.7,194,4,19.7,Royal Challengers Bangalore,Runs,36,Jos Buttler,36820
1036,2018,League,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,Field,167,3,18.8,153,8,15.7,Sunrisers Hyderabad,Runs,14,Rohit Sharma,21398
1037,2018,League,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Punjab Kings,Punjab Kings,Field,180,10,19.8,150,5,13,Royal Challengers Bangalore,Runs,30,Rashid Khan,43193
1038,2018,League,"Eden Gardens, Kolkata",Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Bat,149,10,18.7,147,7,18.9,Kolkata Knight Riders,Runs,2,KL Rahul,49019
1039,2018,League,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Bat,200,7,16.6,185,10,16.1,Sunrisers Hyderabad,Runs,15,Ishan Kishan,33201
1040,2018,League,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Chennai Super Kings,Delhi Capitals,Field,133,8,19.3,142,9,15,Chennai Super Kings,Wickets,1,Shikhar Dhawan,17451
1041,2018,League,"BRSABV Ekana Stadium, Lucknow",Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,Bat,214,10,18.3,216,10,18.2,Gujarat Titans,Wickets,0,Ishan Kishan,28878
1042,2018,League,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Chennai Super Kings,Chennai Super Kings,Bat,163,8,19.4,140,9,18.6,Gujarat Titans,Runs,23,Sunil Narine,46343
